#  xpos   SnDSAerr
  0.050000   -0.0000000061559806
  0.150000   -0.0000000073093931
  0.250000   -0.0000000084238199
  0.350000   -0.0000000095045127
  0.450000   -0.0000000105553113
  0.550000   -0.0000000115792442
  0.650000   -0.0000000125787434
  0.750000   -0.0000000135557414
  0.850000   -0.0000000145117429
  0.950000   -0.0000000154479025
  1.050000   -0.0000000163651031
  1.150000   -0.0000000172640036
  1.250000   -0.0000000181450552
  1.350000   -0.0000000190085778
  1.450000   -0.0000000198547099
  1.550000   -0.0000000206835225
  1.650000   -0.0000000214949480
  1.750000   -0.0000000222888303
  1.850000   -0.0000000230649420
  1.950000   -0.0000000238229703
  2.050000   -0.0000000245625493
  2.150000   -0.0000000252832422
  2.250000   -0.0000000259845763
  2.350000   -0.0000000266660365
  2.450000   -0.0000000273270970
  2.550000   -0.0000000279671646
  2.650000   -0.0000000285857062
  2.750000   -0.0000000291821323
  2.850000   -0.0000000297558778
  2.950000   -0.0000000303064098
  3.050000   -0.0000000308332098
  3.150000   -0.0000000313357802
  3.250000   -0.0000000318136912
  3.350000   -0.0000000322665059
  3.450000   -0.0000000326938903
  3.550000   -0.0000000330955032
  3.650000   -0.0000000334710677
  3.750000   -0.0000000338203563
  3.850000   -0.0000000341431701
  3.950000   -0.0000000344393669
  4.050000   -0.0000000347088047
  4.150000   -0.0000000349514195
  4.250000   -0.0000000351671332
  4.350000   -0.0000000353559102
  4.450000   -0.0000000355177292
  4.550000   -0.0000000356525760
  4.650000   -0.0000000357604364
  4.750000   -0.0000000358413388
  4.850000   -0.0000000358952690
  4.950000   -0.0000000359222270
  5.050000   -0.0000000359222270
  5.150000   -0.0000000358952761
  5.250000   -0.0000000358413388
  5.350000   -0.0000000357604506
  5.450000   -0.0000000356525760
  5.550000   -0.0000000355177434
  5.650000   -0.0000000353559244
  5.750000   -0.0000000351671474
  5.850000   -0.0000000349514266
  5.950000   -0.0000000347088118
  6.050000   -0.0000000344393669
  6.150000   -0.0000000341431843
  6.250000   -0.0000000338203563
  6.350000   -0.0000000334710819
  6.450000   -0.0000000330955174
  6.550000   -0.0000000326939045
  6.650000   -0.0000000322665272
  6.750000   -0.0000000318136841
  6.850000   -0.0000000313357731
  6.950000   -0.0000000308332062
  7.050000   -0.0000000303064098
  7.150000   -0.0000000297558742
  7.250000   -0.0000000291821287
  7.350000   -0.0000000285856956
  7.450000   -0.0000000279671539
  7.550000   -0.0000000273270686
  7.650000   -0.0000000266660223
  7.750000   -0.0000000259845514
  7.850000   -0.0000000252832209
  7.950000   -0.0000000245625245
  8.050000   -0.0000000238229489
  8.150000   -0.0000000230649277
  8.250000   -0.0000000222888126
  8.350000   -0.0000000214949303
  8.450000   -0.0000000206835082
  8.550000   -0.0000000198546957
  8.650000   -0.0000000190085636
  8.750000   -0.0000000181450517
  8.850000   -0.0000000172639929
  8.950000   -0.0000000163650995
  9.050000   -0.0000000154478990
  9.150000   -0.0000000145117394
  9.250000   -0.0000000135557414
  9.350000   -0.0000000125787434
  9.450000   -0.0000000115792353
  9.550000   -0.0000000105553042
  9.650000   -0.0000000095045074
  9.750000   -0.0000000084238128
  9.850000   -0.0000000073093886
  9.950000   -0.0000000061559762
